Zone,Type,Brand,AutoLinked
aaa,gtld,true,false
aarp,gtld,true,false
abb,gtld,true,false
abbott,gtld,true,false
abbvie,gtld,true,false
abc,gtld,true,false
able,gtld,true,false
abogado,gtld,false,false
abudhabi,gtld,false,false
ac,cctld,false,true
academy,gtld,false,false
accenture,gtld,true,false
accountant,gtld,false,false
accountants,gtld,false,false
aco,gtld,true,false
actor,gtld,false,false
ad,cctld,false,true
ads,gtld,false,false
adult,gtld,false,false
ae,cctld,false,true
aeg,gtld,true,false
aero,gtld,false,true
aetna,gtld,true,false
af,cctld,false,true
afl,gtld,true,false
africa,gtld,false,false
ag,cctld,false,true
agakhan,gtld,true,false
agency,gtld,false,false
ai,cctld,false,true
aig,gtld,true,false
airbus,gtld,true,false
airforce,gtld,false,false
airtel,gtld,true,false
akdn,gtld,true,false
al,cctld,false,true
alibaba,gtld,true,false
alipay,gtld,true,false
allfinanz,gtld,true,false
allstate,gtld,true,false
ally,gtld,true,false
alsace,gtld,false,false
alstom,gtld,true,false
am,cctld,false,true
amazon,gtld,true,false
americanexpress,gtld,true,false
americanfamily,gtld,true,false
amex,gtld,true,false
amfam,gtld,true,false
amica,gtld,true,false
amsterdam,gtld,false,false
analytics,gtld,false,false
android,gtld,true,false
anquan,gtld,false,false
anz,gtld,true,false
ao,cctld,false,true
aol,gtld,true,false
apartments,gtld,false,false
app,gtld,false,false
apple,gtld,true,false
aq,cctld,false,true
aquarelle,gtld,true,false
ar,cctld,false,true
arab,gtld,false,false
aramco,gtld,true,false
archi,gtld,false,false
army,gtld,false,false
arpa,gtld,false,true
art,gtld,false,false
arte,gtld,true,false
as,cctld,false,true
asda,gtld,true,false
asia,gtld,false,true
associates,gtld,false,false
at,cctld,false,true
athleta,gtld,true,false
attorney,gtld,false,false
au,cctld,false,true
auction,gtld,false,false
audi,gtld,true,false
audible,gtld,true,false
audio,gtld,false,false
auspost,gtld,true,false
author,gtld,false,false
auto,gtld,false,false
autos,gtld,false,false
aw,cctld,false,true
aws,gtld,true,false
ax,cctld,false,true
axa,gtld,true,false
az,cctld,false,true
azure,gtld,true,false
ba,cctld,false,true
baby,gtld,false,false
baidu,gtld,true,false
banamex,gtld,true,false
band,gtld,false,false
bank,gtld,false,false
bar,gtld,false,false
barcelona,gtld,false,false
barclaycard,gtld,true,false
barclays,gtld,true,false
barefoot,gtld,true,false
bargains,gtld,false,false
baseball,gtld,false,false
basketball,gtld,false,false
bauhaus,gtld,true,false
bayern,gtld,false,false
bb,cctld,false,true
bbc,gtld,true,false
bbt,gtld,true,false
bbva,gtld,true,false
bcg,gtld,true,false
bcn,gtld,false,false
bd,cctld,false,true
be,cctld,false,true
beats,gtld,true,false
beauty,gtld,false,false
beer,gtld,false,false
berlin,gtld,false,false
best,gtld,false,false
bestbuy,gtld,true,false
bet,gtld,false,false
bf,cctld,false,true
bg,cctld,false,true
bh,cctld,false,true
bharti,gtld,true,false
bi,cctld,false,true
bible,gtld,false,false
bid,gtld,false,false
bike,gtld,false,false
bing,gtld,true,false
bingo,gtld,false,false
bio,gtld,false,false
biz,gtld,false,true
bj,cctld,false,true
black,gtld,false,false
blackfriday,gtld,false,false
blockbuster,gtld,true,false
blog,gtld,false,false
bloomberg,gtld,true,false
blue,gtld,false,false
bm,cctld,false,true
bms,gtld,true,false
bmw,gtld,true,false
bn,cctld,false,true
bnpparibas,gtld,true,false
bo,cctld,false,true
boats,gtld,false,false
boehringer,gtld,true,false
bofa,gtld,true,false
bom,gtld,true,false
bond,gtld,true,false
boo,gtld,false,false
book,gtld,false,false
booking,gtld,true,false
bosch,gtld,true,false
bostik,gtld,true,false
boston,gtld,false,false
bot,gtld,false,false
boutique,gtld,false,false
box,gtld,false,false
br,cctld,false,true
bradesco,gtld,true,false
bridgestone,gtld,true,false
broadway,gtld,false,false
broker,gtld,false,false
brother,gtld,true,false
brussels,gtld,false,false
bs,cctld,false,true
bt,cctld,false,true
build,gtld,false,false
builders,gtld,false,false
business,gtld,false,false
buy,gtld,false,false
buzz,gtld,false,false
bv,cctld,false,true
bw,cctld,false,true
by,cctld,false,true
bz,cctld,false,true
bzh,gtld,false,false
ca,cctld,false,true
cab,gtld,false,false
cafe,gtld,false,false
cal,gtld,true,false
call,gtld,false,false
calvinklein,gtld,true,false
cam,gtld,false,false
camera,gtld,false,false
camp,gtld,false,false
canon,gtld,true,false
capetown,gtld,false,false
capital,gtld,false,false
capitalone,gtld,true,false
car,gtld,false,false
caravan,gtld,true,false
cards,gtld,false,false
care,gtld,false,false
career,gtld,false,false
careers,gtld,false,false
cars,gtld,false,false
casa,gtld,false,false
case,gtld,true,false
cash,gtld,false,false
casino,gtld,false,false
cat,gtld,false,true
catering,gtld,false,false
catholic,gtld,false,false
cba,gtld,true,false
cbn,gtld,true,false
cbre,gtld,true,false
cc,cctld,false,true
cd,cctld,false,true
center,gtld,false,false
ceo,gtld,false,false
cern,gtld,true,false
cf,cctld,false,true
cfa,gtld,true,false
cfd,gtld,false,false
cg,cctld,false,true
ch,cctld,false,true
chanel,gtld,true,false
channel,gtld,false,false
charity,gtld,false,false
chase,gtld,true,false
chat,gtld,false,false
cheap,gtld,false,false
chintai,gtld,true,false
christmas,gtld,false,false
chrome,gtld,true,false
church,gtld,false,false
ci,cctld,false,true
cipriani,gtld,true,false
circle,gtld,false,false
cisco,gtld,true,false
citadel,gtld,true,false
citi,gtld,true,false
citic,gtld,true,false
city,gtld,false,false
ck,cctld,false,true
cl,cctld,false,true
claims,gtld,false,false
cleaning,gtld,false,false
click,gtld,false,false
clinic,gtld,false,false
clinique,gtld,true,false
clothing,gtld,false,false
cloud,gtld,false,false
club,gtld,false,false
clubmed,gtld,true,false
cm,cctld,false,true
cn,cctld,false,true
co,cctld,false,true
coach,gtld,false,false
codes,gtld,false,false
coffee,gtld,false,false
college,gtld,false,false
cologne,gtld,false,false
com,gtld,false,true
commbank,gtld,true,false
community,gtld,false,false
company,gtld,false,false
compare,gtld,false,false
computer,gtld,false,false
comsec,gtld,true,false
condos,gtld,false,false
construction,gtld,false,false
consulting,gtld,false,false
contact,gtld,false,false
contractors,gtld,false,false
cooking,gtld,false,false
cool,gtld,false,false
coop,gtld,false,true
corsica,gtld,false,false
country,gtld,false,false
coupon,gtld,false,false
coupons,gtld,false,false
courses,gtld,false,false
cpa,gtld,false,false
cr,cctld,false,true
credit,gtld,false,false
creditcard,gtld,false,false
creditunion,gtld,false,false
cricket,gtld,false,false
crown,gtld,true,false
crs,gtld,true,false
cruise,gtld,false,false
cruises,gtld,false,false
cu,cctld,false,true
cuisinella,gtld,true,false
cv,cctld,false,true
cw,cctld,false,false
cx,cctld,false,true
cy,cctld,false,true
cymru,gtld,false,false
cyou,gtld,false,false
cz,cctld,false,true
dad,gtld,false,false
dance,gtld,false,false
data,gtld,true,false
date,gtld,false,false
dating,gtld,false,false
datsun,gtld,true,false
day,gtld,false,false
dclk,gtld,true,false
dds,gtld,false,false
de,cctld,false,true
deal,gtld,false,false
dealer,gtld,false,false
deals,gtld,false,false
degree,gtld,false,false
delivery,gtld,false,false
dell,gtld,true,false
deloitte,gtld,true,false
delta,gtld,true,false
democrat,gtld,false,false
dental,gtld,false,false
dentist,gtld,false,false
desi,gtld,false,false
design,gtld,false,false
dev,gtld,false,false
dhl,gtld,true,false
diamonds,gtld,false,false
diet,gtld,false,false
digital,gtld,false,false
direct,gtld,false,false
directory,gtld,false,false
discount,gtld,false,false
discover,gtld,true,false
dish,gtld,true,false
diy,gtld,true,false
dj,cctld,false,true
dk,cctld,false,true
dm,cctld,false,true
dnp,gtld,true,false
do,cctld,false,true
docs,gtld,false,false
doctor,gtld,false,false
dog,gtld,false,false
domains,gtld,false,false
dot,gtld,false,false
download,gtld,false,false
drive,gtld,false,false
dtv,gtld,true,false
dubai,gtld,false,false
dupont,gtld,true,false
durban,gtld,false,false
dvag,gtld,true,false
dvr,gtld,true,false
dz,cctld,false,true
earth,gtld,false,false
eat,gtld,false,false
ec,cctld,false,true
eco,gtld,false,false
edeka,gtld,true,false
edu,gtld,false,true
education,gtld,false,false
ee,cctld,false,true
eg,cctld,false,true
email,gtld,false,false
emerck,gtld,true,false
energy,gtld,false,false
engineer,gtld,false,false
engineering,gtld,false,false
enterprises,gtld,false,false
epson,gtld,true,false
equipment,gtld,false,false
er,cctld,false,true
ericsson,gtld,true,false
erni,gtld,true,false
es,cctld,false,true
esq,gtld,false,false
estate,gtld,false,false
et,cctld,false,true
eu,cctld,false,true
eurovision,gtld,true,false
eus,gtld,false,false
events,gtld,false,false
exchange,gtld,false,false
expert,gtld,false,false
exposed,gtld,false,false
express,gtld,false,false
extraspace,gtld,true,false
fage,gtld,true,false
fail,gtld,false,false
fairwinds,gtld,true,false
faith,gtld,false,false
family,gtld,false,false
fan,gtld,false,false
fans,gtld,false,false
farm,gtld,false,false
farmers,gtld,true,false
fashion,gtld,false,false
fast,gtld,true,false
fedex,gtld,true,false
feedback,gtld,false,false
ferrari,gtld,true,false
ferrero,gtld,true,false
fi,cctld,false,true
fidelity,gtld,true,false
fido,gtld,true,false
film,gtld,false,false
final,gtld,false,false
finance,gtld,false,false
financial,gtld,false,false
fire,gtld,true,false
firestone,gtld,true,false
firmdale,gtld,true,false
fish,gtld,false,false
fishing,gtld,false,false
fit,gtld,false,false
fitness,gtld,false,false
fj,cctld,false,true
fk,cctld,false,true
flickr,gtld,true,false
flights,gtld,false,false
flir,gtld,true,false
florist,gtld,false,false
flowers,gtld,false,false
fly,gtld,false,false
fm,cctld,false,true
fo,cctld,false,true
foo,gtld,false,false
food,gtld,true,false
football,gtld,false,false
ford,gtld,true,false
forex,gtld,false,false
forsale,gtld,false,false
forum,gtld,false,false
foundation,gtld,false,false
fox,gtld,true,false
fr,cctld,false,true
free,gtld,false,false
fresenius,gtld,true,false
frl,gtld,false,false
frogans,gtld,true,false
frontier,gtld,true,false
ftr,gtld,true,false
fujitsu,gtld,true,false
fun,gtld,false,false
fund,gtld,false,false
furniture,gtld,false,false
futbol,gtld,false,false
fyi,gtld,false,false
ga,cctld,false,true
gal,gtld,false,false
gallery,gtld,false,false
gallo,gtld,true,false
gallup,gtld,true,false
game,gtld,false,false
games,gtld,false,false
gap,gtld,true,false
garden,gtld,false,false
gay,gtld,false,false
gb,cctld,false,true
gbiz,gtld,true,false
gd,cctld,false,true
gdn,gtld,false,false
ge,cctld,false,true
gea,gtld,true,false
gent,gtld,false,false
genting,gtld,true,false
george,gtld,true,false
gf,cctld,false,true
gg,cctld,false,true
ggee,gtld,true,false
gh,cctld,false,true
gi,cctld,false,true
gift,gtld,false,false
gifts,gtld,false,false
gives,gtld,false,false
giving,gtld,false,false
gl,cctld,false,true
glass,gtld,false,false
gle,gtld,true,false
global,gtld,false,false
globo,gtld,true,false
gm,cctld,false,true
gmail,gtld,true,false
gmbh,gtld,false,false
gmo,gtld,true,false
gmx,gtld,true,false
gn,cctld,false,true
godaddy,gtld,true,false
gold,gtld,false,false
goldpoint,gtld,true,false
golf,gtld,false,false
goodyear,gtld,true,false
goog,gtld,true,false
google,gtld,true,false
gop,gtld,false,false
got,gtld,true,false
gov,gtld,false,true
gp,cctld,false,true
gq,cctld,false,true
gr,cctld,false,true
grainger,gtld,true,false
graphics,gtld,false,false
gratis,gtld,false,false
green,gtld,false,false
gripe,gtld,false,false
grocery,gtld,false,false
group,gtld,false,false
gs,cctld,false,true
gt,cctld,false,true
gu,cctld,false,true
gucci,gtld,true,false
guge,gtld,true,false
guide,gtld,false,false
guitars,gtld,false,false
guru,gtld,false,false
gw,cctld,false,true
gy,cctld,false,true
hair,gtld,false,false
hamburg,gtld,false,false
hangout,gtld,false,false
haus,gtld,false,false
hbo,gtld,true,false
hdfc,gtld,true,false
hdfcbank,gtld,true,false
health,gtld,false,false
healthcare,gtld,false,false
help,gtld,false,false
helsinki,gtld,false,false
here,gtld,false,false
hermes,gtld,true,false
hiphop,gtld,false,false
hisamitsu,gtld,true,false
hitachi,gtld,true,false
hiv,gtld,false,false
hk,cctld,false,true
hkt,gtld,true,false
hm,cctld,false,true
hn,cctld,false,true
hockey,gtld,false,false
holdings,gtld,false,false
holiday,gtld,false,false
homedepot,gtld,true,false
homegoods,gtld,true,false
homes,gtld,false,false
homesense,gtld,true,false
honda,gtld,true,false
horse,gtld,false,false
hospital,gtld,false,false
host,gtld,false,false
hosting,gtld,false,false
hot,gtld,false,false
hotels,gtld,false,false
hotmail,gtld,true,false
house,gtld,false,false
how,gtld,false,false
hr,cctld,false,true
hsbc,gtld,true,false
ht,cctld,false,true
hu,cctld,false,true
hughes,gtld,true,false
hyatt,gtld,true,false
hyundai,gtld,true,false
ibm,gtld,true,false
icbc,gtld,true,false
ice,gtld,true,false
icu,gtld,true,false
id,cctld,false,true
ie,cctld,false,true
ieee,gtld,true,false
ifm,gtld,true,false
ikano,gtld,true,false
il,cctld,false,true
im,cctld,false,true
imamat,gtld,true,false
imdb,gtld,true,false
immo,gtld,false,false
immobilien,gtld,false,false
in,cctld,false,true
inc,gtld,false,false
industries,gtld,false,false
infiniti,gtld,true,false
info,gtld,false,true
ing,gtld,false,false
ink,gtld,false,false
institute,gtld,false,false
insurance,gtld,false,false
insure,gtld,false,false
int,gtld,false,true
international,gtld,false,false
intuit,gtld,true,false
investments,gtld,false,false
io,cctld,false,true
ipiranga,gtld,true,false
iq,cctld,false,true
ir,cctld,false,true
irish,gtld,false,false
is,cctld,false,true
ismaili,gtld,true,false
ist,gtld,false,false
istanbul,gtld,false,false
it,cctld,false,true
itau,gtld,true,false
itv,gtld,true,false
jaguar,gtld,true,false
java,gtld,true,false
jcb,gtld,true,false
je,cctld,false,true
jeep,gtld,true,false
jetzt,gtld,false,false
jewelry,gtld,false,false
jio,gtld,true,false
jll,gtld,true,false
jm,cctld,false,true
jmp,gtld,true,false
jnj,gtld,true,false
jo,cctld,false,true
jobs,gtld,false,true
joburg,gtld,false,false
jot,gtld,false,false
joy,gtld,false,false
jp,cctld,false,true
jpmorgan,gtld,true,false
jprs,gtld,true,false
juegos,gtld,false,false
juniper,gtld,true,false
kaufen,gtld,false,false
kddi,gtld,true,false
ke,cctld,false,true
kerryhotels,gtld,true,false
kerryproperties,gtld,true,false
kfh,gtld,true,false
kg,cctld,false,true
kh,cctld,false,true
ki,cctld,false,true
kia,gtld,true,false
kids,gtld,false,false
kim,gtld,false,false
kindle,gtld,true,false
kitchen,gtld,false,false
kiwi,gtld,false,false
km,cctld,false,true
kn,cctld,false,true
koeln,gtld,false,false
komatsu,gtld,true,false
kosher,gtld,false,false
kp,cctld,false,true
kpmg,gtld,true,false
kpn,gtld,true,false
kr,cctld,false,true
krd,gtld,false,false
kred,gtld,false,false
kuokgroup,gtld,true,false
kw,cctld,false,true
ky,cctld,false,true
kyoto,gtld,false,false
kz,cctld,false,true
la,cctld,false,true
lacaixa,gtld,true,false
lamborghini,gtld,true,false
lamer,gtld,true,false
land,gtld,false,false
landrover,gtld,true,false
lanxess,gtld,true,false
lasalle,gtld,true,false
lat,gtld,false,false
latino,gtld,false,false
latrobe,gtld,true,false
law,gtld,false,false
lawyer,gtld,false,false
lb,cctld,false,true
lc,cctld,false,true
lds,gtld,true,false
lease,gtld,false,false
leclerc,gtld,true,false
lefrak,gtld,true,false
legal,gtld,false,false
lego,gtld,true,false
lexus,gtld,true,false
lgbt,gtld,false,false
li,cctld,false,true
lidl,gtld,true,false
life,gtld,false,false
lifeinsurance,gtld,false,false
lifestyle,gtld,false,false
lighting,gtld,false,false
like,gtld,true,false
lilly,gtld,true,false
limited,gtld,false,false
limo,gtld,false,false
lincoln,gtld,true,false
link,gtld,false,false
live,gtld,false,false
living,gtld,false,false
lk,cctld,false,true
llc,gtld,false,false
llp,gtld,false,false
loan,gtld,false,false
loans,gtld,false,false
locker,gtld,true,false
locus,gtld,true,false
lol,gtld,false,false
london,gtld,false,false
lotte,gtld,true,false
lotto,gtld,false,false
love,gtld,false,false
lpl,gtld,true,false
lplfinancial,gtld,true,false
lr,cctld,false,true
ls,cctld,false,true
lt,cctld,false,true
ltd,gtld,false,false
ltda,gtld,false,false
lu,cctld,false,true
lundbeck,gtld,true,false
